,ID,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document
179,232,1,2023,hoang mai,3.3,100.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,Giay đo
180,233,1,2023,thanh xuan,5.0,97.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,So hong
181,234,1,2023,cau giay,2.1,65.0,can ho chung cu,11.0,1.0,12.5,2.0,1.0,So hong
182,236,1,2023,cau giay,4.25,88.0,can ho chung cu,35.0,2.0,40.0,2.0,1.0,So hong
183,237,1,2023,cau giay,2.8,75.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
184,238,1,2023,south tu liem,5.5,137.0,can ho chung cu,19.0,3.0,12.5,3.0,1.0,So hong
185,239,1,2023,thanh xuan,7.2,132.0,can ho chung cu,5.0,3.0,12.5,3.0,1.0,So hong
186,241,1,2023,dong da,2.1,52.0,can ho chung cu,26.0,1.0,12.5,1.0,1.0,So hong
187,243,1,2023,south tu liem,2.95,135.0,can ho chung cu,11.0,2.0,12.5,3.0,1.0,So hong
188,244,1,2023,south tu liem,2.95,65.0,can ho chung cu,17.0,2.0,12.5,2.0,1.0,So hong
189,245,1,2023,cau giay,3.65,110.0,can ho chung cu,11.0,2.0,12.5,3.0,1.0,So hong
190,246,1,2023,cau giay,2.35,62.0,can ho chung cu,11.0,1.0,17.5,2.0,1.0,So hong
191,248,1,2023,thanh xuan,8.3,47.0,can ho chung cu,1.0,2.0,12.5,4.0,1.0,So hong
192,249,1,2023,south tu liem,6.2,100.0,can ho chung cu,3.0,2.0,12.5,4.0,1.0,So hong
193,251,1,2023,long bien,0.38,66.0,can ho chung cu,3.0,2.0,12.5,2.0,1.0,So hong
194,253,1,2023,south tu liem,4.25,143.0,can ho chung cu,10.0,3.0,12.5,3.0,1.0,So hong
195,255,1,2023,cau giay,5.5,132.0,can ho chung cu,14.0,2.0,12.5,3.0,1.0,So hong
196,256,1,2023,south tu liem,5.45,136.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,So hong
197,258,1,2023,cau giay,2.57,64.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
198,261,1,2023,south tu liem,1.99,54.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
199,262,1,2023,south tu liem,2.0,54.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
200,263,1,2023,dong anh,1.9,72.9,can ho chung cu,1.0,1.0,8.0,2.0,1.0,So hong
201,264,1,2023,south tu liem,2.1,54.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
202,265,1,2023,south tu liem,2.0,54.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
203,266,1,2023,south tu liem,2.75,86.0,can ho chung cu,8.0,2.0,25.0,2.0,1.0,So hong
204,267,1,2023,south tu liem,2.45,55.0,can ho chung cu,26.0,1.0,60.0,2.0,1.0,So hong
205,268,1,2023,south tu liem,1.8,32.0,can ho chung cu,5.0,1.0,40.0,1.0,1.0,Hop đong
206,269,1,2023,south tu liem,2.5,37.0,can ho chung cu,12.0,1.0,40.0,1.0,1.0,So hong
207,270,1,2023,south tu liem,3.2,118.0,can ho chung cu,22.0,2.0,12.5,3.0,1.0,So hong
208,271,1,2023,ha dong,2.6,54.0,can ho chung cu,41.0,2.0,60.0,2.0,1.0,So hong
209,272,1,2023,south tu liem,0.315,95.0,can ho chung cu,15.0,2.0,25.0,3.0,1.0,So hong
210,274,1,2023,thanh xuan,2.65,76.0,can ho chung cu,5.0,1.0,12.5,2.0,1.0,So hong
211,275,1,2023,cau giay,2.6,62.0,can ho chung cu,5.0,1.0,12.5,2.0,1.0,So hong
212,276,1,2023,south tu liem,1.95,60.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,Hop đong
213,277,1,2023,hoang mai,3.6,139.0,can ho chung cu,15.0,2.0,17.5,3.0,2.0,So hong
214,278,4,2022,south tu liem,5.0,130.0,can ho chung cu,16.0,2.0,12.5,3.0,1.0,Hop đong
215,279,4,2022,gia lam,3.8,98.0,can ho chung cu,5.0,2.0,25.0,3.0,1.0,Giay đo
216,280,4,2022,dong anh,2.13,77.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
217,281,4,2022,ha dong,3.8,143.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,Giay to hop le
218,283,4,2022,hoang mai,3.95,95.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,So hong
219,284,4,2022,hoang mai,2.5,82.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,So hong
220,285,4,2022,tay ho,4.325,100.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,So hong
221,286,4,2022,hai ba trung,4.75,118.0,can ho chung cu,22.0,2.0,12.5,3.0,1.0,So hong
222,287,4,2022,hoang mai,5.5,131.0,can ho chung cu,5.0,2.0,17.5,4.0,1.0,So hong
223,290,4,2022,cau giay,5.125,86.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
