,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document
251,4,2022,hoang mai,2.262,80.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
252,4,2022,north tu liem,3.846,97.0,căn hộ chung cư,,,,,,Not provided
253,4,2022,hoang mai,11.4,266.0,căn hộ chung cư,2.0,2.0,8.0,4.0,2.0,Yes
254,4,2022,north tu liem,4.7,132.0,căn hộ chung cư,,,,,,Not provided
255,4,2022,hoang mai,12.0,260.0,căn hộ chung cư,,4.0,,4.0,,Not provided
256,4,2022,hoang mai,3.9,108.67,căn hộ chung cư,,,,,,Not provided
257,4,2022,hai ba trung,4.1,74.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
258,4,2022,tay ho,20.8,260.0,căn hộ chung cư,,4.0,,4.0,,Not provided
259,4,2022,south tu liem,5.5,136.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided
260,4,2022,dong da,2.9,68.0,căn hộ chung cư,,1.0,12.5,2.0,1.0,Yes
261,4,2022,south tu liem,3.9,80.0,căn hộ chung cư,,2.0,,2.0,1.0,Not provided
262,4,2022,long bien,2.35,82.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
263,4,2022,long bien,4.65,97.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
264,4,2022,long bien,3.3,85.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
265,4,2022,thanh xuan,4.2,106.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
266,4,2022,thanh xuan,0.39,105.5,căn hộ chung cư,,3.0,,2.0,,Yes
267,4,2022,south tu liem,0.39,105.5,căn hộ chung cư,,2.0,,3.0,,Not provided
268,4,2022,south tu liem,4.0,105.5,căn hộ chung cư,,2.0,,3.0,,Yes
269,4,2022,hoang mai,3.1,74.0,căn hộ chung cư,29.0,2.0,40.0,2.0,1.0,Yes
270,4,2022,long bien,3.75,100.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
271,4,2022,cau giay,5.6,130.0,căn hộ chung cư,16.0,2.0,40.0,3.0,1.0,Yes
272,4,2022,cau giay,12.209,162.0,căn hộ chung cư,10.0,2.0,25.0,3.0,1.0,Yes
273,4,2022,south tu liem,0.39,123.0,căn hộ chung cư,15.0,2.0,25.0,3.0,1.0,Yes
274,4,2022,hoang mai,10.5,240.0,căn hộ chung cư,1.0,2.0,25.0,1.0,2.0,Yes
275,4,2022,long bien,3.1,57.0,căn hộ chung cư,,1.0,,1.0,1.0,Not provided
276,4,2022,ba dinh,31.0,310.0,căn hộ chung cư,,3.0,,3.0,1.0,Yes
277,4,2022,dong da,1.3,50.0,căn hộ chung cư,4.0,1.0,10.0,1.0,1.0,Yes
278,4,2022,cau giay,4.5,88.0,căn hộ chung cư,30.0,2.0,,2.0,1.0,Yes
279,4,2022,dong da,1.3,50.0,căn hộ chung cư,4.0,1.0,10.0,1.0,1.0,Yes
280,4,2022,thanh xuan,2.6,80.0,căn hộ chung cư,,1.0,12.5,2.0,1.0,Yes
