price,price_per_area,land_area,floor_area,type,bedrooms,bathrooms,address,direction,floor,law_doc,furniture,entrance,project,post_date,id,Ban công,Sân vườn,Chỗ đậu xe hơi,Nuôi thú cưng,Phòng cho giúp việc,Phòng giải trí,Quầy minibar,Tầng hầm,Góc làm việc,Nhà kho,Gym,Hồ bơi riêng,Giếng trời
27.0,195.65,138.0,535.7,Nhà phố,23,23,"Số 7A, Bình Trị Đông B, Bình Tân",Nam,5,0,1,KXĐ,KXĐ,2023-08-28,TTA139823,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11.5,153.33,75.0,150.1,Nhà phố,3,4,"D1, Phước Long B, Quận 9",Đông Nam,2,0,1,KXĐ,KXĐ,2023-08-28,T09139828,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.7,152.27,44.0,140.0,Nhà phố,4,3,"Đào Tông Nguyên, Phú Xuân, Nhà Bè",Tây Bắc,4,0,1,KXĐ,KXĐ,2023-08-28,TNB120407,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,101.33,75.0,10.0,Nhà phố,1,1,"Đường 429, Tăng Nhơn Phú A, Quận 9",Tây Bắc,1,0,2,10m,KXĐ,2023-08-28,T09186445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3,51.11,45.2,65.0,Nhà phố,2,2,"Phạm Thế Hiển, Phường 6, Quận 8",Tây,2,0,0,KXĐ,KXĐ,2023-08-28,T08132219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,263.33,30.0,90.0,Nhà phố,4,2,"Số 4 Cư xá Đô thành, Phường 4, Quận 3",Nam,2,0,2,KXĐ,KXĐ,2023-08-28,T03187170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,152.78,144.0,120.0,Nhà phố,5,5,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Nam,5,1,-1,KXĐ,Vinhomes Grand Park,2023-08-28,T09160376,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,235.29,51.0,102.0,Nhà phố,4,3,"Phạm Ngũ Lão, Phạm Ngũ Lão, Quận 1",Đông Bắc,3,0,0,2m,KXĐ,2023-10-09,T01107149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,73.81,42.3,42.3,Nhà phố,2,1,"Bình Quới, Phường 28, Bình Thạnh",Tây Nam,1,0,0,KXĐ,KXĐ,2023-10-09,TBT114950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9,195.0,20.0,54.6,Nhà phố,2,1,"Nguyễn Hiền, Phường 4, Quận 3",Tây Nam,4,0,2,KXĐ,KXĐ,2023-10-09,T03120373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.5,144.74,114.4,428.0,Nhà phố,10,10,"Lê Văn Sỹ, Phường 12, Quận 3",Đông Bắc,5,0,1,KXĐ,KXĐ,2023-10-09,T03116336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.5,170.63,126.0,104.0,Nhà phố,5,5,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Tây,5,1,-1,KXĐ,Vinhomes Grand Park,2023-08-28,T09159465,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.45,94.23,26.3,26.3,Nhà phố,1,1,"Thạnh Lộc 27, Thạnh Lộc, Quận 12",Tây Bắc,1,0,2,KXĐ,KXĐ,2023-10-09,T12138490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,270.83,24.6,105.2,Nhà phố,3,3,"Nguyễn Chí Thanh, Phường 3, Quận 10",Bắc,2,0,2,KXĐ,KXĐ,2023-10-10,T10190440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,166.67,78.0,193.4,Nhà phố,5,3,"Trịnh Đình Trọng, Phú Trung, Tân Phú",Đông Bắc,3,0,2,KXĐ,KXĐ,2023-10-10,TTP190443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,92.23,206.2,206.2,Nhà phố,3,2,"Hoàng Hoa Thám, Phường 5, Phú Nhuận",Bắc,1,2,0,5m,KXĐ,2023-10-10,TPN190682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3,215.0,20.8,63.7,Nhà phố,3,2,"Hoàng Diệu, Phường 6, Quận 4",Đông Nam,3,0,2,3.5m,KXĐ,2023-10-24,T04191914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.85,117.0,50.0,150.0,Nhà phố,4,4,"Phạm Văn Chiêu, Phường 9, Gò Vấp",Đông Nam,4,0,1,3.5m,KXĐ,2023-10-24,TGV191905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,159.42,69.8,218.7,Nhà phố,4,5,"Hoàng Văn Hợp, An Lạc A, Bình Tân",Đông,3,0,2,KXĐ,KXĐ,2023-10-10,TTA190678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,109.38,32.6,46.9,Nhà phố,3,2,"Đường 50, Phường 14, Gò Vấp",Đông Nam,2,0,1,4.5m,KXĐ,2023-10-24,TGV191903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1,82.0,50.4,15.9,Nhà phố,2,2,"Ngô Chí Quốc, Bình Chiểu, Thủ Đức",Đông Nam,2,0,2,4m,KXĐ,2023-10-17,TTD190881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3,183.33,18.0,48.8,Nhà phố,3,2,"Số 5, Phường 17, Gò Vấp",Đông,3,0,2,7m,KXĐ,2023-10-24,TGV191902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7,106.82,44.2,120.0,Nhà phố,4,3,"Phạm Văn Chiêu, Phường 14, Gò Vấp",Tây Nam,3,0,1,4.5m,KXĐ,2023-10-24,TGV191899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.68,130.0,36.0,118.0,Nhà phố,4,3,"Phạm Văn Chiêu, Phường 14, Gò Vấp",Đông Bắc,4,0,1,4m,KXĐ,2023-10-24,TGV191884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.45,238.89,27.8,38.1,Nhà phố,1,1,"Phan Đăng Lưu, Phường 5, Phú Nhuận",Nam,1,0,2,30m,KXĐ,2023-10-24,TPN190894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.45,136.11,18.0,35.4,Nhà phố,1,1,"Phạm Văn Chiêu, Phường 14, Gò Vấp",Tây Bắc,2,0,0,KXĐ,KXĐ,2023-10-09,TGV138487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,187.5,48.7,143.14,Nhà phố,4,3,"Lưu Nhân Chú, Phường 5, Tân Bình",Tây Nam,3,0,2,KXĐ,KXĐ,2023-10-24,TTB191937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,135.71,70.3,296.6,Nhà phố,5,5,"Quang Trung, Phường 14, Gò Vấp",Tây Nam,5,0,1,8m,KXĐ,2023-10-24,TGV191906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,97.3,37.0,50.0,Nhà phố,1,1,"Đoàn Văn Bơ, Phường 14, Quận 4",Đông Nam,2,0,0,KXĐ,KXĐ,2023-04-06,T0465452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,131.94,144.0,120.0,Nhà phố,5,5,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Nam,5,1,-1,KXĐ,Vinhomes Grand Park,2023-08-27,T09160382,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,173.33,75.0,75.0,Nhà phố,4,3,"Phan Văn Trị, Phường 10, Gò Vấp",Đông Bắc,2,0,2,6m,KXĐ,2023-10-25,TGV191948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.5,352.27,44.9,188.6,Nhà phố,8,9,"Nguyễn Trãi, Nguyễn Cư Trinh, Quận 1",Đông Bắc,3,0,1,KXĐ,KXĐ,2023-04-06,T0135930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
